time,rain (mm),lat,lon
1991-01-01,1.1377263,30.5,79.5
1991-01-02,0.59166074,30.5,79.5
1991-01-03,0.0,30.5,79.5
1991-01-04,0.0,30.5,79.5
1991-01-05,0.0,30.5,79.5
1991-01-06,0.0,30.5,79.5
1991-01-07,0.0,30.5,79.5
1991-01-08,0.0,30.5,79.5
1991-01-09,0.30160338,30.5,79.5
1991-01-10,0.0,30.5,79.5
1991-01-11,0.0,30.5,79.5
1991-01-12,0.0,30.5,79.5
1991-01-13,0.0,30.5,79.5
1991-01-14,0.30219945,30.5,79.5
1991-01-15,0.0,30.5,79.5
1991-01-16,0.0,30.5,79.5
1991-01-17,0.0,30.5,79.5
1991-01-18,0.0,30.5,79.5
1991-01-19,0.0,30.5,79.5
1991-01-20,0.0,30.5,79.5
1991-01-21,0.0,30.5,79.5
1991-01-22,0.0,30.5,79.5
1991-01-23,0.0,30.5,79.5
1991-01-24,0.0,30.5,79.5
1991-01-25,0.0,30.5,79.5
1991-01-26,0.0,30.5,79.5
1991-01-27,0.0,30.5,79.5
1991-01-28,0.0,30.5,79.5
1991-01-29,0.0,30.5,79.5
1991-01-30,0.0,30.5,79.5
1991-01-31,0.0,30.5,79.5
1991-02-01,0.013361542,30.5,79.5
1991-02-02,0.0,30.5,79.5
1991-02-03,0.0,30.5,79.5
1991-02-04,1.1720709,30.5,79.5
1991-02-05,0.16988845,30.5,79.5
1991-02-06,0.0,30.5,79.5
1991-02-07,4.501176,30.5,79.5
1991-02-08,0.05716091,30.5,79.5
1991-02-09,0.15446928,30.5,79.5
1991-02-10,0.40361455,30.5,79.5
1991-02-11,32.74822,30.5,79.5
1991-02-12,9.612159,30.5,79.5
1991-02-13,0.0,30.5,79.5
1991-02-14,0.0,30.5,79.5
1991-02-15,0.0,30.5,79.5
1991-02-16,0.0,30.5,79.5
1991-02-17,0.021995025,30.5,79.5
1991-02-18,0.3558114,30.5,79.5
1991-02-19,0.0,30.5,79.5
1991-02-20,0.0,30.5,79.5
1991-02-21,0.0,30.5,79.5
1991-02-22,0.0,30.5,79.5
1991-02-23,0.16002226,30.5,79.5
1991-02-24,3.5761447,30.5,79.5
1991-02-25,4.775047,30.5,79.5
1991-02-26,8.2744875,30.5,79.5
1991-02-27,29.983517,30.5,79.5
1991-02-28,0.9273945,30.5,79.5
1991-03-01,0.0,30.5,79.5
1991-03-02,0.0,30.5,79.5
1991-03-03,0.7544321,30.5,79.5
1991-03-04,16.364462,30.5,79.5
1991-03-05,39.160263,30.5,79.5
1991-03-06,0.042094197,30.5,79.5
1991-03-07,0.0,30.5,79.5
1991-03-08,0.0,30.5,79.5
1991-03-09,16.78817,30.5,79.5
1991-03-10,0.0,30.5,79.5
1991-03-11,0.0,30.5,79.5
1991-03-12,0.0,30.5,79.5
1991-03-13,0.0,30.5,79.5
1991-03-14,20.892057,30.5,79.5
1991-03-15,10.856358,30.5,79.5
1991-03-16,23.69692,30.5,79.5
1991-03-17,14.161871,30.5,79.5
1991-03-18,38.26856,30.5,79.5
1991-03-19,61.70674,30.5,79.5
1991-03-20,105.246635,30.5,79.5
1991-03-21,98.92636,30.5,79.5
1991-03-22,117.46641,30.5,79.5
1991-03-23,120.71881,30.5,79.5
1991-03-24,27.250484,30.5,79.5
1991-03-25,44.80855,30.5,79.5
1991-03-26,0.0,30.5,79.5
1991-03-27,0.0,30.5,79.5
1991-03-28,0.00018403147,30.5,79.5
1991-03-29,0.0,30.5,79.5
1991-03-30,0.0,30.5,79.5
1991-03-31,0.0,30.5,79.5
1991-04-01,2.8244126,30.5,79.5
1991-04-02,0.29619747,30.5,79.5
1991-04-03,3.982055,30.5,79.5
1991-04-04,0.20327944,30.5,79.5
1991-04-05,0.0,30.5,79.5
1991-04-06,0.044425853,30.5,79.5
1991-04-07,0.0,30.5,79.5
1991-04-08,0.4288903,30.5,79.5
1991-04-09,41.60091,30.5,79.5
1991-04-10,6.3913054,30.5,79.5
1991-04-11,1.5303938,30.5,79.5
1991-04-12,0.0,30.5,79.5
1991-04-13,0.5232997,30.5,79.5
1991-04-14,32.845863,30.5,79.5
1991-04-15,23.00628,30.5,79.5
1991-04-16,0.0,30.5,79.5
1991-04-17,0.048030417,30.5,79.5
1991-04-18,0.0,30.5,79.5
1991-04-19,0.0,30.5,79.5
1991-04-20,0.0,30.5,79.5
1991-04-21,0.0,30.5,79.5
1991-04-22,0.850308,30.5,79.5
1991-04-23,6.2170134,30.5,79.5
1991-04-24,0.0,30.5,79.5
1991-04-25,0.0,30.5,79.5
1991-04-26,0.0,30.5,79.5
