time,rain (mm),lat,lon
01-01-2010,0,30.5,79.5
02-01-2010,0,30.5,79.5
03-01-2010,0,30.5,79.5
04-01-2010,3.206895113,30.5,79.5
05-01-2010,0,30.5,79.5
06-01-2010,0,30.5,79.5
07-01-2010,0,30.5,79.5
08-01-2010,0,30.5,79.5
09-01-2010,0,30.5,79.5
10-01-2010,0,30.5,79.5
11-01-2010,0,30.5,79.5
12-01-2010,0,30.5,79.5
13-01-2010,0.826398075,30.5,79.5
14-01-2010,4.979070187,30.5,79.5
15-01-2010,0,30.5,79.5
16-01-2010,0,30.5,79.5
17-01-2010,0,30.5,79.5
18-01-2010,0,30.5,79.5
19-01-2010,0,30.5,79.5
20-01-2010,0,30.5,79.5
21-01-2010,0,30.5,79.5
22-01-2010,0,30.5,79.5
23-01-2010,0,30.5,79.5
24-01-2010,0,30.5,79.5
25-01-2010,0,30.5,79.5
26-01-2010,0,30.5,79.5
27-01-2010,0,30.5,79.5
28-01-2010,0,30.5,79.5
29-01-2010,0,30.5,79.5
30-01-2010,0,30.5,79.5
31-01-2010,0,30.5,79.5
01-02-2010,0,30.5,79.5
02-02-2010,0,30.5,79.5
03-02-2010,0,30.5,79.5
04-02-2010,0,30.5,79.5
05-02-2010,0,30.5,79.5
06-02-2010,0,30.5,79.5
07-02-2010,0,30.5,79.5
08-02-2010,0.325683475,30.5,79.5
09-02-2010,56.27834702,30.5,79.5
10-02-2010,17.40748596,30.5,79.5
11-02-2010,0,30.5,79.5
12-02-2010,0,30.5,79.5
13-02-2010,0,30.5,79.5
14-02-2010,0,30.5,79.5
15-02-2010,0,30.5,79.5
16-02-2010,0,30.5,79.5
17-02-2010,0,30.5,79.5
18-02-2010,0,30.5,79.5
19-02-2010,0,30.5,79.5
20-02-2010,0,30.5,79.5
21-02-2010,0,30.5,79.5
22-02-2010,0,30.5,79.5
23-02-2010,2.736026525,30.5,79.5
24-02-2010,5.402019024,30.5,79.5
25-02-2010,0,30.5,79.5
26-02-2010,0,30.5,79.5
27-02-2010,0,30.5,79.5
28-02-2010,0,30.5,79.5
01-03-2010,0,30.5,79.5
02-03-2010,0,30.5,79.5
03-03-2010,0,30.5,79.5
04-03-2010,0,30.5,79.5
05-03-2010,0.48608765,30.5,79.5
06-03-2010,0,30.5,79.5
07-03-2010,0,30.5,79.5
08-03-2010,0,30.5,79.5
09-03-2010,0,30.5,79.5
10-03-2010,0,30.5,79.5
11-03-2010,0,30.5,79.5
12-03-2010,0,30.5,79.5
13-03-2010,0,30.5,79.5
14-03-2010,0,30.5,79.5
15-03-2010,0,30.5,79.5
16-03-2010,0,30.5,79.5
17-03-2010,0,30.5,79.5
18-03-2010,0,30.5,79.5
19-03-2010,0,30.5,79.5
20-03-2010,0,30.5,79.5
21-03-2010,0,30.5,79.5
22-03-2010,0,30.5,79.5
23-03-2010,0,30.5,79.5
24-03-2010,0,30.5,79.5
25-03-2010,0,30.5,79.5
26-03-2010,0,30.5,79.5
27-03-2010,0,30.5,79.5
28-03-2010,0,30.5,79.5
29-03-2010,0,30.5,79.5
30-03-2010,0,30.5,79.5
31-03-2010,0,30.5,79.5
01-04-2010,5.619500637,30.5,79.5
02-04-2010,0,30.5,79.5
03-04-2010,0,30.5,79.5
04-04-2010,0,30.5,79.5
05-04-2010,0,30.5,79.5
06-04-2010,0,30.5,79.5
07-04-2010,0,30.5,79.5
08-04-2010,0,30.5,79.5
09-04-2010,0,30.5,79.5
10-04-2010,0,30.5,79.5
11-04-2010,0,30.5,79.5
12-04-2010,0,30.5,79.5
13-04-2010,0,30.5,79.5
14-04-2010,0,30.5,79.5
15-04-2010,0,30.5,79.5
16-04-2010,0,30.5,79.5
17-04-2010,0,30.5,79.5
18-04-2010,0,30.5,79.5
19-04-2010,0.20832324,30.5,79.5
20-04-2010,11.04791641,30.5,79.5
21-04-2010,2.256834984,30.5,79.5
22-04-2010,0,30.5,79.5
23-04-2010,0,30.5,79.5
24-04-2010,0,30.5,79.5
25-04-2010,0,30.5,79.5
26-04-2010,0,30.5,79.5
27-04-2010,0,30.5,79.5
28-04-2010,0,30.5,79.5
29-04-2010,2.648511648,30.5,79.5
30-04-2010,0,30.5,79.5
01-05-2010,0,30.5,79.5
02-05-2010,0,30.5,79.5
03-05-2010,0.277764291,30.5,79.5
04-05-2010,0,30.5,79.5
05-05-2010,0,30.5,79.5
06-05-2010,1.652794123,30.5,79.5
07-05-2010,7.497266293,30.5,79.5
08-05-2010,18.36671448,30.5,79.5
09-05-2010,0,30.5,79.5
10-05-2010,0,30.5,79.5
11-05-2010,0,30.5,79.5
12-05-2010,0,30.5,79.5
13-05-2010,0,30.5,79.5
14-05-2010,0,30.5,79.5
15-05-2010,0,30.5,79.5
16-05-2010,0,30.5,79.5
17-05-2010,0,30.5,79.5
18-05-2010,0,30.5,79.5
19-05-2010,3.173601866,30.5,79.5
20-05-2010,1.556955695,30.5,79.5
21-05-2010,0.17360267,30.5,79.5
22-05-2010,0,30.5,79.5
23-05-2010,0,30.5,79.5
24-05-2010,0.573602557,30.5,79.5
25-05-2010,0,30.5,79.5
26-05-2010,0,30.5,79.5
27-05-2010,0.247919142,30.5,79.5
28-05-2010,12.47633743,30.5,79.5
29-05-2010,12.48061562,30.5,79.5
30-05-2010,0.565279305,30.5,79.5
31-05-2010,0.399999887,30.5,79.5
01-06-2010,0,30.5,79.5
02-06-2010,1.290997744,30.5,79.5
03-06-2010,0,30.5,79.5
04-06-2010,0,30.5,79.5
05-06-2010,8.437211037,30.5,79.5
06-06-2010,1.613747239,30.5,79.5
07-06-2010,2.743370533,30.5,79.5
08-06-2010,33.15257645,30.5,79.5
09-06-2010,3.719581127,30.5,79.5
10-06-2010,11.23696709,30.5,79.5
11-06-2010,3.711618662,30.5,79.5
12-06-2010,0,30.5,79.5
13-06-2010,1.323504329,30.5,79.5
14-06-2010,0.954011142,30.5,79.5
15-06-2010,0,30.5,79.5
16-06-2010,0,30.5,79.5
17-06-2010,0,30.5,79.5
18-06-2010,0,30.5,79.5
19-06-2010,0,30.5,79.5
20-06-2010,2.581995487,30.5,79.5
21-06-2010,1.911821127,30.5,79.5
22-06-2010,0,30.5,79.5
23-06-2010,0.669444263,30.5,79.5
24-06-2010,20.30756187,30.5,79.5
25-06-2010,6.754353046,30.5,79.5
26-06-2010,0,30.5,79.5
27-06-2010,15.04871559,30.5,79.5
28-06-2010,0,30.5,79.5
29-06-2010,10.8839426,30.5,79.5
30-06-2010,22.48904228,30.5,79.5
01-07-2010,0.235098615,30.5,79.5
02-07-2010,0,30.5,79.5
03-07-2010,17.11109543,30.5,79.5
04-07-2010,9.321336746,30.5,79.5
05-07-2010,8.156752586,30.5,79.5
06-07-2010,21.1003685,30.5,79.5
07-07-2010,9.180603981,30.5,79.5
08-07-2010,2.047190666,30.5,79.5
09-07-2010,4.128285408,30.5,79.5
10-07-2010,0,30.5,79.5
11-07-2010,0,30.5,79.5
12-07-2010,6.940292835,30.5,79.5
13-07-2010,13.41613674,30.5,79.5
